"Reference","Pin","Net"
"RVOV2","1","VOV_REF"
"RVOV2","2","GND_LOGIC"
"RGC1","1","GATE_C"
"RGC1","2","GATE_C_BASE"
"RGC2","1","QPC_BASE_R"
"RGC2","2","QPC_BASE"
"RGC3","1","VIN_HV"
"RGC3","2","QPC_BASE"
"RGC4","1","SCR_GATE_C_R"
"RGC4","2","SCR_GATE_C"
"RGC5","1","SCR_GATE_C"
"RGC5","2","GND_POWER"
"RGS1","1","GATE_S"
"RGS1","2","GATE_S_BASE"
"RGS2","1","QPS_BASE_R"
"RGS2","2","QPS_BASE"
"RGS3","1","VIN_HV"
"RGS3","2","QPS_BASE"
"RGS4","1","SCR_GATE_S_R"
"RGS4","2","SCR_GATE_S"
"RGS5","1","SCR_GATE_S"
"RGS5","2","GND_POWER"
"RHVC1","1","HV_CENTER"
"RHVC1","2","HV_C_DIV1"
"RHVC2","1","HV_C_DIV1"
"RHVC2","2","HV_C_DIV2"
"RHVC3","1","HV_C_DIV2"
"RHVC3","2","HV_C_DIV3"
"RHVC4","1","HV_C_DIV3"
"RHVC4","2","HV_C_FB"
"RHVC5","1","HV_C_FB"
"RHVC5","2","GND_LOGIC"
"RHVC6","1","HV_C_FB"
"RHVC6","2","HV_C_ADC"
"RHVS1","1","HV_SIDE"
"RHVS1","2","HV_S_DIV1"
"RHVS2","1","HV_S_DIV1"
"RHVS2","2","HV_S_DIV2"
"RHVS3","1","HV_S_DIV2"
"RHVS3","2","HV_S_DIV3"
"RHVS4","1","HV_S_DIV3"
"RHVS4","2","HV_S_FB"
"RHVS5","1","HV_S_FB"
"RHVS5","2","GND_LOGIC"
"RHVS6","1","HV_S_FB"
"RHVS6","2","HV_S_ADC"
"RBC1","1","HV_CENTER"
"RBC1","2","BLEED_C1"
"RBC2","1","BLEED_C1"
"RBC2","2","BLEED_C2"
"RBC3","1","BLEED_C2"
"RBC3","2","BLEED_C3"
"RBC4","1","BLEED_C3"
"RBC4","2","COIL_CENTER"
"RBS1","1","HV_SIDE"
"RBS1","2","BLEED_S1"
"RBS2","1","BLEED_S1"
"RBS2","2","BLEED_S2"
"RBS3","1","BLEED_S2"
"RBS3","2","BLEED_S3"
"RBS4","1","BLEED_S3"
"RBS4","2","COIL_SIDE"
